,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
384,glasgow,20,GB,1566607140,87,55.86,-4.24,59.41,2.24
385,nouakchott,0,MR,1566607258,83,18.08,-15.98,80.6,8.05
386,zandvoort,0,NL,1566607259,87,52.37,4.53,62.22,5.82
387,abastumani,75,GE,1566607260,94,41.75,42.83,69.8,2.24
388,ibipeba,11,BR,1566607261,67,-11.64,-42.01,63.63,7.87
389,ilulissat,20,GL,1566607262,56,69.22,-51.1,41.0,7.99
390,mikhaylovka,86,RU,1566607262,86,52.96,103.29,58.16,16.42
391,bonthe,97,SL,1566607263,88,7.53,-12.5,76.9,8.23
392,saldanha,0,PT,1566607264,42,41.42,-6.55,70.6,1.59
393,udachnyy,90,RU,1566607264,100,66.42,112.4,48.2,4.47
394,cravo norte,14,CO,1566607177,88,6.3,-70.2,76.5,3.42
395,berlevag,100,NO,1566607266,92,70.86,29.09,44.05,9.78
396,sur,0,OM,1566607267,63,22.57,59.53,81.63,8.14
397,san rafael,98,AR,1566607267,41,-34.61,-68.33,59.69,8.48
398,baykit,69,RU,1566607268,74,61.68,96.39,52.64,2.59
399,guhagar,21,IN,1566607269,79,17.48,73.19,80.84,3.56
400,ambon,0,FR,1566607270,67,47.55,-2.56,65.46,9.17
401,salvador,20,BR,1566607270,78,-12.98,-38.48,77.0,8.05
402,petrozavodsk,100,RU,1566607271,100,61.79,34.39,55.4,4.47
403,tzaneen,0,ZA,1566607272,32,-23.83,30.16,51.8,5.82
404,raudeberg,100,NO,1566607273,93,61.99,5.14,55.13,10.29
405,beipiao,78,CN,1566607273,63,41.8,120.76,69.14,7.16
406,bronzani majdan,40,BA,1566607263,83,44.79,16.93,69.8,4.7
407,coxim,13,BR,1566607275,33,-18.5,-54.75,82.82,9.4
408,mandalgovi,0,MN,1566607276,62,45.76,106.27,63.2,8.57
409,kashary,51,RU,1566607277,73,49.04,41.01,69.3,10.09
410,kodinsk,100,RU,1566607277,76,58.6,99.18,57.17,6.46
411,comodoro rivadavia,0,AR,1566607278,76,-45.87,-67.48,48.2,2.24
412,abu dhabi,0,AE,1566607090,32,24.47,54.37,95.86,4.7
413,mendi,100,ET,1566607279,95,9.8,35.1,61.02,3.42
414,horsham,0,AU,1566607280,66,-36.71,142.2,53.57,11.23
415,kenai,1,US,1566607279,45,60.55,-151.26,67.33,8.05
416,saint-pierre,0,FR,1566607281,63,48.95,4.24,57.16,9.17
417,abapo,0,BO,1566607140,46,-18.83,-63.47,67.18,1.01
418,mount hagen,67,PG,1566607283,59,-5.86,144.23,61.91,4.27
419,alta floresta,4,BR,1566607283,29,-9.87,-56.08,79.53,1.19
420,ahuimanu,90,US,1566607284,74,21.44,-157.84,87.4,11.41
421,lodwar,33,KE,1566607285,59,3.12,35.6,80.52,8.9
422,fonte boa,71,BR,1566607286,78,-2.51,-66.09,78.97,4.38
423,ust-kut,100,RU,1566607286,76,56.78,105.75,58.86,1.52
424,ubinskoye,13,RU,1566607287,78,55.31,79.68,51.43,6.31
425,vilhena,5,BR,1566607288,45,-12.74,-60.15,78.03,1.21
426,sisimiut,3,GL,1566607289,75,66.94,-53.67,45.04,17.2
427,hamilton,75,CA,1566607038,55,43.26,-79.87,65.46,6.93
428,klaksvik,100,FO,1566607290,100,62.23,-6.59,53.6,16.11
429,kayerkan,75,RU,1566607291,100,69.35,87.76,53.6,6.71
430,washington,90,US,1566606994,88,38.9,-77.04,65.05,4.81
431,santa fe,90,AR,1566607045,50,-31.62,-60.7,59.81,5.99
432,mae ramat,90,TH,1566607293,94,16.98,98.52,77.0,2.24
433,oriximina,0,BR,1566607293,66,-1.77,-55.87,81.74,3.51
434,payo,0,ID,1566607294,72,-3.75,103.64,67.04,3.31
435,mundo nuevo,0,CL,1566607295,82,-32.72,-71.41,55.4,8.05
436,kindu,7,CD,1566607296,63,-2.95,25.92,73.26,1.63
437,dharchula,95,IN,1566607296,86,29.85,80.53,52.06,0.94
438,kyshtovka,86,RU,1566607297,78,56.56,76.62,56.79,8.88
439,kiunga,96,PG,1566607298,82,-6.12,141.3,76.04,3.38
440,khuzhir,0,RU,1566607299,53,53.19,107.35,62.19,5.7
441,bulgan,15,MN,1566607300,83,48.81,103.53,55.57,2.42
442,sao joao da barra,99,BR,1566607301,84,-21.64,-41.05,65.09,2.46
443,livingston,1,US,1566607072,68,40.8,-74.31,68.72,7.05
444,ciudad bolivar,13,VE,1566607302,75,8.12,-63.55,80.64,2.89
445,carlsbad,0,CZ,1566607303,87,50.23,12.87,54.05,2.24
446,buchanan,20,LR,1566607304,94,5.88,-10.05,75.2,10.78
447,egvekinot,56,RU,1566607304,46,66.32,-179.17,56.13,4.74
448,mecca,21,SA,1566607184,38,21.43,39.83,85.97,6.93
449,mananjary,26,MG,1566607306,84,-19.16,46.8,59.24,4.99
450,constitucion,90,MX,1566607307,55,23.99,-104.67,66.58,11.41
451,tingi,78,TZ,1566607307,68,-11.3,35.03,64.41,1.23
452,maceio,0,BR,1566607308,78,-9.67,-35.74,75.2,5.82
453,coahuayana,63,MX,1566607309,77,18.62,-100.35,81.47,1.68
454,ballina,100,IE,1566607310,99,54.11,-9.15,60.69,12.77
455,kozhva,100,RU,1566607311,96,65.11,57.05,49.67,8.81
456,lokosovo,100,RU,1566607311,95,61.13,74.84,59.98,14.88
457,ubatuba,75,BR,1566607312,77,-23.43,-45.08,60.8,5.82
458,honningsvag,98,NO,1566607313,90,70.98,25.97,45.06,16.89
459,tullamore,0,AU,1566607314,47,-32.63,147.57,57.01,9.24
460,whitehorse,90,CA,1566607065,62,60.72,-135.06,53.19,2.24
461,mlimba,6,TZ,1566607315,66,-8.78,35.81,61.37,3.96
462,turukhansk,91,RU,1566607316,74,65.8,87.96,56.27,8.16
463,balila,75,IN,1566607317,94,12.67,75.41,73.4,4.36
464,black river,40,JM,1566607317,88,18.03,-77.85,77.0,6.93
465,treinta y tres,0,UY,1566607318,89,-33.23,-54.39,45.62,6.62
466,presidencia roque saenz pena,0,AR,1566607229,59,-26.79,-60.44,57.55,5.55
467,kutum,6,SD,1566607320,73,14.2,24.66,73.32,1.41
468,brodokalmak,20,RU,1566607320,100,55.57,62.07,55.71,8.95
469,trujillo,35,VE,1566607321,77,9.37,-70.44,74.72,3.94
470,alberton,0,ZA,1566607322,31,-26.25,28.13,51.8,2.62
471,jalu,0,LY,1566607323,79,29.03,21.55,75.3,10.49
472,lodja,28,CD,1566607323,60,-3.52,23.6,72.62,0.92
473,oranjemund,0,ZA,1566607324,55,-28.55,16.43,62.46,4.5
474,krasnyye baki,18,RU,1566607325,94,57.13,45.16,51.25,3.83
475,panguipulli,90,CL,1566607326,87,-39.64,-72.33,53.28,5.82
476,kuragino,100,RU,1566607327,75,53.89,92.68,53.05,12.5
477,prainha,56,BR,1566607327,91,-1.8,-53.48,72.71,3.22
478,changping,0,CN,1566607328,69,40.22,116.23,82.08,2.24
479,paita,2,PE,1566607117,93,-5.09,-81.11,62.05,18.14
480,tallahassee,20,US,1566607167,74,30.44,-84.28,83.32,4.7
481,qianguo,25,CN,1566607330,84,45.12,124.86,65.76,5.97
482,nokaneng,0,BW,1566607331,30,-19.66,22.19,57.06,4.45
483,arman,100,RU,1566607332,83,59.7,150.17,54.45,4.92
484,revda,100,RU,1566607332,93,67.94,34.55,44.12,2.3
485,mbandaka,42,CD,1566607333,63,0.05,18.26,74.02,0.34
486,chernyshevskiy,0,RU,1566607334,84,63.01,112.47,55.17,1.77
487,nelson bay,0,AU,1566607335,50,-32.72,152.14,64.76,9.17
488,yar-sale,100,RU,1566607335,88,66.83,70.83,48.32,8.12
489,tual,99,ID,1566607336,84,-5.67,132.75,76.38,18.92
490,benguela,74,AO,1566607337,88,-12.58,13.4,68.44,15.64
491,hovd,75,NO,1566607338,87,63.83,10.7,54.36,5.82
492,chake chake,100,TZ,1566607339,89,-5.25,39.77,75.37,14.76
493,yarada,40,IN,1566607340,88,17.65,83.27,80.6,6.93
494,eureka,1,US,1566607340,72,40.8,-124.16,64.71,9.17
495,tocopilla,49,CL,1566607341,81,-22.09,-70.2,55.62,0.85
496,luganville,40,VU,1566607342,65,-15.51,167.18,77.0,10.29
497,oiso,40,JP,1566607342,78,35.32,139.28,81.81,3.36
498,krasnyy profintern,0,RU,1566607343,93,57.74,40.44,51.8,2.24
499,tezu,5,IN,1566607344,82,27.93,96.16,73.23,3.42
500,maldonado,0,UY,1566607345,87,-34.91,-54.96,48.2,6.93
501,socorro,90,US,1566607346,40,31.65,-106.3,82.33,23.04
502,dunedin,25,NZ,1566607298,53,-45.87,170.5,55.99,7.0
503,beyneu,0,KZ,1566607347,42,45.32,55.19,71.12,8.46
504,hundested,0,DK,1566607348,100,55.97,11.85,58.51,1.12
505,tynda,51,RU,1566607348,72,55.15,124.74,61.8,2.68
506,arkhara,98,RU,1566607349,91,49.42,130.09,61.74,2.57
507,anadyr,75,RU,1566607350,71,64.73,177.51,55.2,6.71
508,bayir,0,TR,1566607350,35,37.27,28.22,86.0,3.36
509,redlands,5,US,1566607334,20,34.06,-117.19,85.3,4.7
510,rognan,75,NO,1566607352,87,67.1,15.4,51.19,4.7
511,bubaque,94,GW,1566607353,83,11.28,-15.83,79.26,16.78
512,krasnoslobodsk,54,RU,1566607353,87,54.42,43.79,54.85,3.15
513,javanrud,0,IR,1566607354,30,34.8,46.49,64.4,1.72
514,luxeuil-les-bains,90,FR,1566607355,93,47.82,6.38,58.24,2.24
515,monzon,20,IT,1566607355,93,46.45,11.69,57.43,4.7
516,lagoa santa,0,BR,1566607356,77,-19.64,-43.9,63.84,12.75
517,shawville,20,CA,1566607357,55,45.61,-76.49,64.15,6.6
518,rawlins,90,US,1566607358,32,41.79,-107.24,71.71,18.34
519,taoudenni,16,ML,1566607358,29,22.68,-3.98,95.69,5.55
520,luanda,75,AO,1566607209,94,-8.83,13.24,69.8,3.36
